Naturalidade,lat,lon
Petrolina,-9.3817334,-40.4968875
Aiuruoca,-21.9759554,-44.6036637
Apucarana,-23.5525327,-51.4610764
Salvador,-12.9822499,-38.4812772
Afonso Cláudio,-20.0744817,-41.1251335
Cruzeiro da Fortaleza,-18.9461873,-46.6738005
Virginopolis,-18.8226124,-42.7053967
Nanuque,-17.8393915,-40.3494631
Pedra Azul,-16.0058567,-41.2793731
Paracambi,-22.6109158,-43.7096912
Serra,-20.1252961,-40.3064477
Barra do Garças,-15.8916033,-52.2615413
Niquelândia,-14.4648655,-48.4572244
Porciúncula,-20.8956337,-41.9332211
Planaltina,-15.4571536,-47.6089024
Itarana,-19.8748185,-40.8762716
Marliéria,-19.711867,-42.7343059
Angers,-23.5814792,-46.7519691
Piatã,-13.1535638,-41.7743761
Monte Alto,-21.265545,-48.497066
Jaú,-22.293585,-48.559193
Alto Jequitibá,-20.4236673,-41.9660938
Araruama,-22.8733203,-42.3428897
Mercês,-21.1947265,-43.3407272
Samba,-15.8505292,-39.9464003
Marechal Candido Rondon,-24.5582532,-54.0587821
Caxambu,-21.9755872,-44.9311403
Turiaçu,-1.6710652,-45.3684095
Porto Alegre do Norte,-10.8792851,-51.6391975
Unai,-16.3628767,-46.892413
Candelária,-29.668391,-52.789495
Descoberto,-21.459444,-42.967223
Barra do Bugres,-15.0683712,-57.1853688
Ataléia,-18.0441576,-41.1104812
Ribeira do Pombal,-10.8357496,-38.5368506
Cristalina,-16.7680599,-47.6133427
Marialva,-23.4820987,-51.795788
Cornelio Procopio,-23.1825218,-50.6499263
Pedregulho,-20.25071,-47.4808786
Xinguara,-7.0998514,-49.9416632
Iturama,-19.7272733,-50.193488
Ituverava,-20.3366604,-47.7797924
Jacarezinho,-23.1590428,-49.9739664
Massachusetts,-23.6384168,-47.0246502
Muniz Freire,-20.4636068,-41.4137007
Júlio de Castilhos,-29.2286575,-53.6825217
Francisco Beltrão,-26.0790979,-53.0533527
Constantina,-27.7331711,-52.9929561
Rondon do Pará,-4.7804416,-48.06983
Orlândia,-20.720278,-47.886667
João Neiva,-19.7570307,-40.3856633
Três Lagoas,-20.7866799,-51.7061247
Joao Monlevade,-19.809444,-43.173334
Vitoria,-20.3200917,-40.3376682
Alpinópolis,-20.863611,-46.387777
Madri,-27.6418489,-48.6988364
Silveirânia,-21.158611,-43.215556
Pato Branco,-26.2295984,-52.6712474
Matipó,-20.2896695,-42.3426599
Cardoso,-20.080447,-49.9139767
